,Mode,Layer_name,Sample_id,Cardinality,Pattern,Misprediction
211,Ranger_Clipping_Value,classes_conv2d,0,13,4,0
212,Ranger_Clipping_Value,classes_conv2d,0,1,4,0
213,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
214,Ranger_Clipping_Value,classes_conv2d,0,22,6,0
215,Ranger_Clipping_Value,classes_conv2d,0,6,4,0
216,Ranger_Clipping_Value,classes_conv2d,0,12,4,0
217,Ranger_Clipping_Value,classes_conv2d,0,61,4,0
218,Ranger_Clipping_Value,classes_conv2d,0,31,6,0
219,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
220,Ranger_Clipping_Value,classes_conv2d,0,6,0,0
221,Ranger_Clipping_Value,classes_conv2d,0,3,5,0
222,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
223,Ranger_Clipping_Value,classes_conv2d,0,6,4,0
224,Ranger_Clipping_Value,classes_conv2d,0,6,4,0
225,Ranger_Clipping_Value,classes_conv2d,0,6,4,0
226,Ranger_Clipping_Value,classes_conv2d,0,6,4,0
227,Ranger_Clipping_Value,classes_conv2d,0,30,6,0
228,Ranger_Clipping_Value,classes_conv2d,0,14,0,0
229,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
230,Ranger_Clipping_Value,classes_conv2d,0,2,4,0
231,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
232,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
233,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
234,Ranger_Clipping_Value,classes_conv2d,0,4,5,0
235,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
236,Ranger_Clipping_Value,classes_conv2d,0,15,0,0
237,Ranger_Clipping_Value,classes_conv2d,0,11,0,0
238,Ranger_Clipping_Value,classes_conv2d,0,6,4,0
239,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
240,Ranger_Clipping_Value,classes_conv2d,0,61,4,0
241,Ranger_Clipping_Value,classes_conv2d,0,6,4,0
242,Ranger_Clipping_Value,classes_conv2d,0,55,4,0
243,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
244,Ranger_Clipping_Value,classes_conv2d,0,9,0,0
245,Ranger_Clipping_Value,classes_conv2d,0,2,5,0
246,Ranger_Clipping_Value,classes_conv2d,0,62,4,0
247,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
248,Ranger_Clipping_Value,classes_conv2d,0,2,0,0
249,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
250,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
251,Ranger_Clipping_Value,classes_conv2d,0,61,4,0
252,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
253,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
254,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
255,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
256,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
257,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
258,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
259,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
260,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
261,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
262,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
263,Ranger_Clipping_Value,classes_conv2d,0,6,4,0
264,Ranger_Clipping_Value,classes_conv2d,0,30,6,0
265,Ranger_Clipping_Value,classes_conv2d,0,11,0,0
266,Ranger_Clipping_Value,classes_conv2d,0,5,4,0
267,Ranger_Clipping_Value,classes_conv2d,0,6,4,0
268,Ranger_Clipping_Value,classes_conv2d,0,6,4,0
269,Ranger_Clipping_Value,classes_conv2d,0,14,0,0
270,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
271,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
272,Ranger_Clipping_Value,classes_conv2d,0,16,0,0
