,Set,Layer_name,Sample_id,Cardinality,Pattern,IOU,Golden_num_boxes,Faulty_num_boxes,Precision,Recall,F1_score,True_positives,False_positives,False_negatives,Error
152,valid,batch_normalization_5,4,32.0,1004.0,0.9890397191047668,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
153,valid,batch_normalization_5,4,32.0,1004.0,0.9906499981880188,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
154,valid,batch_normalization_5,4,32.0,1004.0,0.97808438539505,2.0,4.0,0.5,1.0,0.6666666666666666,2.0,2.0,0.0,
155,valid,batch_normalization_5,4,1.0,-1.0,0.9997023344039917,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
156,valid,batch_normalization_5,4,32.0,1004.0,0.9853402972221375,2.0,4.0,0.5,1.0,0.6666666666666666,2.0,2.0,0.0,
157,valid,batch_normalization_5,4,32.0,1004.0,0.9818471074104309,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
158,valid,batch_normalization_5,4,32.0,1004.0,0.9876203536987305,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
159,valid,batch_normalization_5,4,32.0,1004.0,0.9802992343902588,2.0,4.0,0.5,1.0,0.6666666666666666,2.0,2.0,0.0,
160,valid,batch_normalization_5,4,32.0,1004.0,0.9829256534576416,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
161,valid,batch_normalization_5,4,32.0,1004.0,0.9773612022399902,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
162,valid,batch_normalization_5,4,32.0,1004.0,0.988307535648346,2.0,4.0,0.5,1.0,0.6666666666666666,2.0,2.0,0.0,
163,valid,batch_normalization_5,4,32.0,1004.0,0.9763281345367432,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
164,valid,batch_normalization_5,4,32.0,1004.0,0.9682339429855347,2.0,6.0,0.3333333333333333,1.0,0.5,2.0,4.0,0.0,
165,valid,batch_normalization_5,4,32.0,1004.0,0.9846333861351013,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
166,valid,batch_normalization_5,4,32.0,1004.0,0.9763281345367432,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
167,valid,batch_normalization_5,4,32.0,1004.0,0.9861111640930176,2.0,4.0,0.5,1.0,0.6666666666666666,2.0,2.0,0.0,
168,valid,batch_normalization_5,4,32.0,1004.0,0.9831696152687073,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
169,valid,batch_normalization_5,4,32.0,1004.0,0.9896913170814514,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
170,valid,batch_normalization_5,4,32.0,1004.0,0.9849809408187866,2.0,4.0,0.5,1.0,0.6666666666666666,2.0,2.0,0.0,
171,valid,batch_normalization_5,4,32.0,1004.0,0.9937928318977356,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
172,valid,batch_normalization_5,4,32.0,1004.0,0.9874578714370728,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
173,valid,batch_normalization_5,4,32.0,1004.0,0.9890124797821045,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
174,valid,batch_normalization_5,4,32.0,1004.0,0.9884473085403442,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
175,valid,batch_normalization_5,4,32.0,1004.0,0.9836499094963074,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
